﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2Vrtd9aLbni8sI8RV1lmwh","Return of Infinity","Becca","Return of Infinity","1","1","158428","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7agnxnigAzIOP4zHAOXbsk","Reminisce in D","kvíðahópur","Reminisce in D","1","1","134220","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3DpqDWkcWia60JWJwbVbDq","Close","Lunaire","Close","1","2","208078","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5iTCS5NpZYK8wJLJkbcvJY","Words Of Amber","Ólafur Arnalds","For Now I Am Winter","1","5","202933","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1dbkagpr2xin2caRwm4PoQ","Reverse Pads","La-Mu","The High Lands of Tibet","1","2","214167","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6tIgg4Lw3DImnjDVOFWugE","At Peace","Lucina Chase","At Peace","1","1","118750","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:10SGotpqSWPSvbIyMuWLS9","Theme from the Steps of Life","Belle Margaux","Catch the Fallen","1","2","72973","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2CX5QNXDNwqh87XhaVX9y7","Still Life","Hushed","In Dreams","1","3","158756","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3aWgBOVyv1dpxkofHDDHGe","A Glowing Heart","Deep Inside","Silent Shores","1","6","119187","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4HtGSunDdFD5QgCqI4zP29","Keep Breathing","Etheral Gust","Unspoken Words","1","1","177238","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:10Fb5CydCmYW3lqQGjNb04","Chasing Cloud Nine","LUCHS","Chasing Cloud Nine","1","5","162407","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:42ZTTDeBon4bTcSF3KA5F0","And The Flowers Were Gray","Evelyn Stein","And The Flowers Were Gray","1","1","171553","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4kgig1MUfc5p99MFYRRULy","Rapture","Aquasonic","Rapture","1","1","160000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1kEPich1V2XkWWMh3kSTbb","Sweet Frederik","Phamie Gow","Beyond the Milky Way","1","6","159680","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2Ai5UUXyxaulVbompgrzlo","Pinô","Otto Totland","Pinô","1","7","165995","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5eIifmrzK2XxqiABsZhYGK","Balm (Scaled Down Version)","Peter Sandberg","Balm","1","4","126937","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7LW1LiX6gMkHpwCXlaq63g","Aoi","Arden Forest","Sapphire","1","3","127750","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7ww76pqFaCvzJkXq3ZlRWi","Solution","Turquoise & Fire","Traummacher","1","2","99228","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1nhuTS6xotWZima4bQJUvX","A Presence Felt","Gavin Luke","The Crossing","1","4","184001","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7tiXaPmrIYPy2x8pYw5n2m","Fragment, Pt. 1","Daigo Hanada","Ichiru","1","4","128042","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5KlC2hzT0q5KHTTShSlzE5","The Same Answer","Dan Romer, Saul Simon MacWilliams, Osei Essed","Jim: The James Foley Story (Original Motion Picture Soundtrack)","1","1","89146","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:350OnYMO9dRxFJ7feR1YYv","La Torre Del Sueno","Meditaciónessa","Mariposas","1","2","230573","spotify:user:","2019-01-10T22:30:48Z"
